NODE,X-COORD,Y-COORD,FLOODWAVE_ARRIVAL_TIME,FLOODTIME,TIME_TO_PEAK,DEFLOOD_TIME,MAX_WSEL
282,657010.359,960435.000,0.00,0.00,0.00,0.00,0.00
283,657010.359,960405.000,0.00,0.00,0.00,0.00,0.00
284,657010.359,960375.000,0.00,0.00,0.00,0.00,0.00
285,657010.359,960345.000,0.00,0.00,0.00,0.00,0.00
286,657010.359,960315.000,0.00,0.00,0.00,0.00,0.00
287,657010.359,960285.000,0.00,0.00,0.00,0.00,0.00
288,657010.359,960255.000,0.00,0.00,0.00,0.00,0.00
289,657010.359,960225.000,0.00,0.00,0.00,0.00,0.00
290,657010.359,960195.000,0.00,0.00,0.00,0.00,0.00
291,657010.359,960165.000,0.00,0.00,0.00,0.00,0.00
292,657010.359,960135.000,0.00,0.00,0.00,0.00,0.00
293,657010.359,960105.000,0.00,0.00,0.00,0.00,0.00
294,657010.359,960075.000,0.00,0.00,0.00,0.00,0.00
295,657010.359,960045.000,0.00,0.00,0.00,0.00,0.00
296,657010.359,960015.000,0.00,0.00,0.00,0.00,0.00
297,657010.359,959985.000,0.00,0.00,0.00,0.00,0.00
298,657010.359,959955.000,0.00,0.00,0.00,0.00,0.00
299,657010.359,959925.000,0.00,0.00,0.00,0.00,0.00
300,657010.359,959895.000,0.00,0.00,0.00,0.00,0.00
301,657010.359,959865.000,0.00,0.00,0.00,0.00,0.00
302,657010.359,959835.000,0.00,0.00,0.00,0.00,0.00
303,657010.359,959805.000,0.00,0.00,0.00,0.00,0.00
304,657010.359,959775.000,0.00,0.00,0.00,0.00,0.00
305,657010.359,959745.000,0.00,0.00,0.00,0.00,0.00
306,657010.359,959715.000,0.00,0.00,0.00,0.00,0.00
307,657010.359,959685.000,0.00,0.00,0.00,0.00,0.00
308,657010.359,959655.000,0.00,0.00,0.00,0.00,0.00
309,657010.359,959625.000,0.00,0.00,0.00,0.00,0.00
310,657010.359,959595.000,0.00,0.00,0.00,0.00,0.00
311,657010.359,959565.000,0.00,0.00,0.00,0.00,0.00
312,657010.359,959535.000,0.00,0.00,0.00,0.00,0.00
313,657010.359,959505.000,0.00,0.00,0.00,0.00,0.00
314,657010.359,959475.000,0.00,0.00,0.00,0.00,1388.76
315,657010.359,959445.000,0.00,0.00,0.00,0.00,1387.43
316,657010.359,959415.000,0.00,0.00,0.00,0.00,1381.97
317,657010.359,959385.000,0.00,0.00,0.00,0.00,1378.42
318,657010.359,959355.000,0.00,0.00,0.00,0.00,1376.16
319,657010.359,959325.000,0.00,0.00,0.00,0.00,1376.81
320,657010.359,959295.000,0.00,0.00,0.00,0.00,1379.03
321,657010.359,959265.000,0.00,0.00,0.00,0.00,1384.65
322,657010.359,959235.000,0.00,0.00,1.00,0.00,0.00
323,657010.359,959205.000,0.00,0.00,0.00,0.00,0.00
324,657010.359,959175.000,0.00,0.00,0.00,0.00,0.00
325,657010.359,959145.000,0.00,0.00,0.00,0.00,0.00
326,657010.359,959115.000,0.00,0.00,0.00,0.00,0.00
327,657010.359,959085.000,0.00,0.00,0.00,0.00,0.00
328,657010.359,959055.000,0.00,0.00,0.00,0.00,0.00
329,657010.359,959025.000,0.00,0.00,0.00,0.00,0.00
330,657010.359,958995.000,0.00,0.00,0.00,0.00,0.00
331,657010.359,958965.000,0.00,0.00,0.00,0.00,0.00
332,657010.359,958935.000,0.00,0.00,0.00,0.00,0.00
333,657040.359,963885.000,0.00,0.00,0.00,0.00,0.00
334,657040.359,963855.000,0.00,0.00,0.00,0.00,0.00
335,657040.359,963825.000,0.00,0.00,0.00,0.00,0.00
336,657040.359,963795.000,0.00,0.00,0.00,0.00,0.00
337,657040.359,963765.000,0.00,0.00,0.00,0.00,0.00
338,657040.359,963735.000,0.00,0.00,0.00,0.00,0.00
339,657040.359,963705.000,0.00,0.00,0.00,0.00,0.00
340,657040.359,963675.000,0.00,0.00,0.00,0.00,0.00
341,657040.359,963645.000,0.00,0.00,0.00,0.00,0.00
342,657040.359,963615.000,0.00,0.00,0.00,0.00,0.00
343,657040.359,963585.000,0.00,0.00,1.14,0.00,1403.56
344,657040.359,963555.000,0.00,0.00,1.14,0.00,1403.54
345,657040.359,963525.000,0.00,0.00,0.00,0.00,0.00
346,657040.359,963495.000,0.00,0.00,0.00,0.00,0.00
347,657040.359,963465.000,0.00,0.00,0.00,0.00,0.00
348,657040.359,963435.000,0.00,0.00,0.00,0.00,0.00
349,657040.359,963405.000,0.00,0.00,1.14,0.00,1402.93
350,657040.359,963375.000,0.00,0.00,0.00,0.00,0.00
351,657040.359,963345.000,0.00,0.00,0.00,0.00,0.00
352,657040.359,963315.000,0.00,0.00,0.00,0.00,0.00
353,657040.359,963285.000,0.00,0.00,0.00,0.00,0.00
354,657040.359,963255.000,0.00,0.00,0.00,0.00,0.00
355,657040.359,963225.000,0.00,0.00,0.00,0.00,0.00
356,657040.359,963195.000,0.00,0.00,0.00,0.00,0.00
357,657040.359,963165.000,0.00,0.00,0.00,0.00,0.00
358,657040.359,963135.000,0.00,0.00,0.00,0.00,0.00
359,657040.359,963105.000,0.00,0.00,0.00,0.00,0.00
360,657040.359,963075.000,0.00,0.00,0.00,0.00,0.00
361,657040.359,963045.000,0.00,0.00,1.14,0.00,1396.45
362,657040.359,963015.000,0.00,0.00,0.00,0.00,0.00
363,657040.359,962985.000,0.00,0.00,0.00,0.00,0.00
364,657040.359,962955.000,0.00,0.00,0.00,0.00,0.00
365,657040.359,962925.000,0.00,0.00,0.00,0.00,0.00
366,657040.359,962895.000,0.00,0.00,0.00,0.00,0.00
367,657040.359,962865.000,0.00,0.00,0.00,0.00,0.00
368,657040.359,962835.000,0.00,0.00,0.00,0.00,0.00
369,657040.359,962805.000,0.00,0.00,0.00,0.00,0.00
370,657040.359,962775.000,0.00,0.00,0.00,0.00,0.00
371,657040.359,962745.000,0.00,0.00,0.00,0.00,0.00
372,657040.359,962715.000,0.00,0.00,0.00,0.00,0.00
373,657040.359,962685.000,0.00,0.00,0.00,0.00,0.00
374,657040.359,962655.000,0.00,0.00,0.00,0.00,0.00
375,657040.359,962625.000,0.00,0.00,0.00,0.00,0.00
376,657040.359,962595.000,0.00,0.00,0.00,0.00,0.00
